model_name,family,benchmark_scope,threshold,train_accuracy,test_accuracy,train_f1,test_f1,train_business_fbeta,test_business_fbeta,train_roc_auc,test_roc_auc,train_pr_auc,test_pr_auc,train_business_cost_per_obs,test_business_cost_per_obs,valid_business_cost_per_obs_mean,valid_fit_time_seconds_mean,valid_business_fbeta_mean,valid_pr_auc_mean,valid_roc_auc_mean,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_business_fbeta,holdout_roc_auc,holdout_pr_auc,holdout_threshold,holdout_false_negatives,holdout_false_positives,holdout_business_cost,holdout_business_cost_per_obs,holdout_fit_time_seconds,overfit_gap_pr_auc,overfit_gap_roc_auc,rank_valid_cost,rank_test_business_fbeta
lightgbm_bonus,Booster bonus,full_dataset,0.5,0.7583138554094428,0.7439270267633573,0.34498182218794754,0.30168935396621294,0.6390375125227266,0.5565602784139922,0.8536329808894413,0.7872328436772532,0.36579933278093746,0.2867391199097442,0.39545131196520394,0.4847972423661019,0.4965142688623088,22.409429133336136,0.5406606278765272,0.27253024122477687,0.78260368695899,0.7439270267633573,0.19342733682055946,0.6851963746223565,0.30168935396621294,0.5565602784139922,0.7872328436772532,0.2867391199097442,0.5,1563.0,14186.0,29816.0,0.4847972423661019,31.887294000014663,0.1344503702612393,0.09158643594682925,1,1
sgd_log_loss,Baseline linéaire,full_dataset,0.5,0.6762260929655901,0.6764658059900491,0.2560107605223337,0.252460740852055,0.5274494573090086,0.5183512615177484,0.7413440458321563,0.7362340173420819,0.20224117675870773,0.19460104482367194,0.5489888416902096,0.5584046047283016,0.571057498767577,33.09020353333714,0.5047916118307799,0.18317410462490394,0.7247031146809647,0.6764658059900491,0.15517480256777352,0.676737160120846,0.252460740852055,0.5183512615177484,0.7362340173420819,0.19460104482367194,0.5,1605.0,18293.0,34343.0,0.5584046047283016,38.629123899998376,0.0069532322172128624,0.008685480681787427,2,2
hist_gradient_boosting,Booster scikit-learn,full_dataset,0.5,0.9229568504705189,0.9206204676270691,0.12014298314841465,0.08542525290370925,0.07107014644424584,0.050136937008975875,0.842664028375061,0.785932024552147,0.39640132682718593,0.2848271843885737,0.7562732464787301,0.7725765015771845,0.7790329474524382,17.81559123332651,0.04169302665386302,0.27199538604191525,0.7822951105038203,0.9206204676270691,0.6112600536193029,0.045921450151057405,0.08542525290370925,0.050136937008975875,0.785932024552147,0.2848271843885737,0.5,4737.0,145.0,47515.0,0.7725765015771845,26.65536219999194,0.16537737529115876,0.07215786732180984,3,3
dummy_classifier,Baseline naïve,full_dataset,0.5,0.9192699335379362,0.9192709180189262,0.0,0.0,0.0,0.0,0.5,0.5,0.08073006646206378,0.08072908198107379,0.8073006646206378,0.8072908198107379,0.8073006646473173,0.005314699995021026,0.0,0.08073006646473174,0.5,0.9192709180189262,0.0,0.0,0.0,0.0,0.5,0.08072908198107379,0.5,4965.0,0.0,49650.0,0.8072908198107379,0.008222699980251491,-0.00044673313139841075,0.0,4,4
