threshold,business_cost_per_obs,business_fbeta,precision,recall,f1,pr_auc,roc_auc
0.44999999999999984,0.48720554460275195,0.5693471308972009,0.18071760130472964,0.7253272910372608,0.2893441799738877,0.2758566754817255,0.7863818034472754
0.45999999999999985,0.4875104164549501,0.5648087669642209,0.18381397765653418,0.7124874118831823,0.29223461379595206,0.2758566754817255,0.7863818034472754
0.47999999999999976,0.48816080973963943,0.5557980395783244,0.19038327526132404,0.6878147029204431,0.2982207182621984,0.2758566754817255,0.7863818034472754
0.43999999999999984,0.48828275848051866,0.5725190839694656,0.1774986346258875,0.736404833836858,0.2860495819275341,0.2758566754817255,0.7863818034472754
0.48999999999999977,0.48864860470315646,0.551446855351779,0.19360184451329346,0.6764853977844915,0.3010475603607641,0.2758566754817255,0.7863818034472754
0.46999999999999986,0.488933151765208,0.5591717060656038,0.1868013468013468,0.6983887210473313,0.2947614493677611,0.2758566754817255,0.7863818034472754
0.4199999999999998,0.49118920347147416,0.5786344457230533,0.17108993988885107,0.7595669687814703,0.27927427566416735,0.2758566754817255,0.7863818034472754
0.4299999999999998,0.4915347249039654,0.5741353807142354,0.1736583079446918,0.7462235649546828,0.2817490494296578,0.2758566754817255,0.7863818034472754
0.4999999999999998,0.491595699274405,0.5449294449670743,0.1960536113179449,0.6628902316213494,0.3026088955292495,0.2758566754817255,0.7863818034472754
0.5199999999999998,0.4923680412999736,0.5357060717571297,0.2039980732177264,0.6397280966767371,0.3093498904309715,0.2758566754817255,0.7863818034472754
