feature,importance,importance_type
name_housing_type_with_parents,1.0,feature_importances_
organization_type_industry_type_11,0.0,feature_importances_
cc_name_contract_status_refused_max,0.0,feature_importances_
cc_name_contract_status_demand_sum,0.0,feature_importances_
cc_name_contract_status_demand_mean,0.0,feature_importances_
cc_name_contract_status_demand_max,0.0,feature_importances_
cc_name_contract_status_completed_var,0.0,feature_importances_
cc_name_contract_status_completed_sum,0.0,feature_importances_
cc_name_contract_status_completed_max,0.0,feature_importances_
cc_name_contract_status_completed_min,0.0,feature_importances_
cc_name_contract_status_approved_var,0.0,feature_importances_
cc_name_contract_status_approved_sum,0.0,feature_importances_
cc_name_contract_status_signed_sum,0.0,feature_importances_
cc_name_contract_status_signed_mean,0.0,feature_importances_
cc_name_contract_status_signed_max,0.0,feature_importances_
cc_name_contract_status_sent_proposal_sum,0.0,feature_importances_
cc_name_contract_status_signed_min,0.0,feature_importances_
organization_type_industry_type_3,0.0,feature_importances_
cc_name_contract_status_refused_mean,0.0,feature_importances_
organization_type_transport_type_2,0.0,feature_importances_
organization_type_trade_type_7,0.0,feature_importances_
organization_type_trade_type_3,0.0,feature_importances_
organization_type_services,0.0,feature_importances_
organization_type_postal,0.0,feature_importances_
organization_type_business_entity_type_1,0.0,feature_importances_
organization_type_business_entity_type_2,0.0,feature_importances_
organization_type_xna,0.0,feature_importances_
occupation_type_cleaning_staff,0.0,feature_importances_
organization_type_medicine,0.0,feature_importances_
organization_type_restaurant,0.0,feature_importances_
cc_name_contract_status_demand_var,0.0,feature_importances_
cc_name_contract_status_refused_sum,0.0,feature_importances_
amt_req_credit_bureau_week,0.0,feature_importances_
cc_name_contract_status_refused_var,0.0,feature_importances_
cc_name_contract_status_sent_proposal_max,0.0,feature_importances_
prev_channel_type_car_dealer_mean,0.0,feature_importances_
buro_credit_day_overdue_mean,0.0,feature_importances_
buro_credit_day_overdue_max,0.0,feature_importances_
buro_credit_type_another_type_of_loan_mean,0.0,feature_importances_
buro_credit_currency_currency_4_mean,0.0,feature_importances_
buro_credit_currency_currency_3_mean,0.0,feature_importances_
name_education_type_lower_secondary,0.0,feature_importances_
pos_name_contract_status_xna_mean,0.0,feature_importances_
prev_product_combination_nan_mean,0.0,feature_importances_
pos_name_contract_status_demand_mean,0.0,feature_importances_
pos_name_contract_status_canceled_mean,0.0,feature_importances_
pos_name_contract_status_amortized_debt_mean,0.0,feature_importances_
prev_name_seller_industry_tourism_mean,0.0,feature_importances_
prev_product_combination_pos_others_without_interest_mean,0.0,feature_importances_
prev_name_seller_industry_jewelry_mean,0.0,feature_importances_
prev_name_seller_industry_mlm_partners_mean,0.0,feature_importances_
wallsmaterial_mode_others,0.0,feature_importances_
wallsmaterial_mode_wooden,0.0,feature_importances_
name_income_type_pensioner,0.0,feature_importances_
name_type_suite_children,0.0,feature_importances_
wallsmaterial_mode_nan,0.0,feature_importances_
organization_type_security,0.0,feature_importances_
occupation_type_security_staff,0.0,feature_importances_
organization_type_agriculture,0.0,feature_importances_
wallsmaterial_mode_monolithic,0.0,feature_importances_
organization_type_housing,0.0,feature_importances_
occupation_type_private_service_staff,0.0,feature_importances_
occupation_type_cooking_staff,0.0,feature_importances_
reg_city_not_work_city,0.0,feature_importances_
reg_region_not_live_region,0.0,feature_importances_
wallsmaterial_mode_block,0.0,feature_importances_
wallsmaterial_mode_mixed,0.0,feature_importances_
prev_name_goods_category_insurance_mean,0.0,feature_importances_
fondkapremont_mode_reg_oper_spec_account,0.0,feature_importances_
prev_name_goods_category_education_mean,0.0,feature_importances_
prev_name_goods_category_medicine_mean,0.0,feature_importances_
cc_amt_drawings_atm_current_min,0.0,feature_importances_
cc_amt_drawings_current_min,0.0,feature_importances_
prev_name_goods_category_other_mean,0.0,feature_importances_
prev_name_goods_category_office_appliances_mean,0.0,feature_importances_
cc_amt_drawings_other_current_mean,0.0,feature_importances_
cc_amt_drawings_other_current_min,0.0,feature_importances_
buro_credit_type_mobile_operator_loan_mean,0.0,feature_importances_
buro_credit_type_real_estate_loan_mean,0.0,feature_importances_
prev_code_reject_reason_system_mean,0.0,feature_importances_
buro_credit_type_unknown_type_of_loan_mean,0.0,feature_importances_
name_housing_type_municipal_apartment,0.0,feature_importances_
live_city_not_work_city,0.0,feature_importances_
buro_cnt_credit_prolong_sum,0.0,feature_importances_
prev_name_portfolio_cars_mean,0.0,feature_importances_
prev_name_goods_category_weapon_mean,0.0,feature_importances_
prev_name_goods_category_vehicles_mean,0.0,feature_importances_
prev_name_goods_category_tourism_mean,0.0,feature_importances_
buro_credit_active_bad_debt_mean,0.0,feature_importances_
buro_credit_currency_currency_1_mean,0.0,feature_importances_
buro_credit_currency_currency_2_mean,0.0,feature_importances_
fondkapremont_mode_reg_oper_account,0.0,feature_importances_
fondkapremont_mode_org_spec_account,0.0,feature_importances_
fondkapremont_mode_not_specified,0.0,feature_importances_
fondkapremont_mode_nan,0.0,feature_importances_
prev_name_goods_category_fitness_mean,0.0,feature_importances_
housetype_mode_nan,0.0,feature_importances_
name_family_status_widow,0.0,feature_importances_
weekday_appr_process_start_sunday,0.0,feature_importances_
flag_email,0.0,feature_importances_
buro_credit_type_loan_for_working_capital_replenishment_mean,0.0,feature_importances_
buro_credit_type_loan_for_the_purchase_of_equipment_mean,0.0,feature_importances_
buro_credit_type_loan_for_purchase_of_shares_margin_lending_mean,0.0,feature_importances_
buro_credit_type_loan_for_business_development_mean,0.0,feature_importances_
buro_credit_type_interbank_credit_mean,0.0,feature_importances_
buro_credit_type_cash_loan_non_earmarked_mean,0.0,feature_importances_
prev_code_reject_reason_scofr_mean,0.0,feature_importances_
prev_code_reject_reason_client_mean,0.0,feature_importances_
prev_name_payment_type_cashless_from_the_account_of_the_employer_mean,0.0,feature_importances_
flag_document_6,0.0,feature_importances_
flag_document_5,0.0,feature_importances_
cc_amt_inst_min_regularity_min,0.0,feature_importances_
prev_name_goods_category_animals_mean,0.0,feature_importances_
prev_name_goods_category_additional_service_mean,0.0,feature_importances_
prev_name_client_type_xna_mean,0.0,feature_importances_
prev_name_type_suite_group_of_people_mean,0.0,feature_importances_
prev_code_reject_reason_verif_mean,0.0,feature_importances_
buro_status_4_mean_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_wedding_gift_holiday_mean,0.0,feature_importances_
cc_cnt_drawings_current_min,0.0,feature_importances_
active_credit_day_overdue_mean,0.0,feature_importances_
cc_cnt_drawings_atm_current_min,0.0,feature_importances_
prev_name_cash_loan_purpose_hobby_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_money_for_a_third_person_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_medicine_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_journey_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_payments_on_other_loans_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_repairs_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_refusal_to_name_the_goal_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_purchase_of_electronic_equipment_mean,0.0,feature_importances_
flag_emp_phone,0.0,feature_importances_
prev_name_cash_loan_purpose_buying_a_home_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_buying_a_holiday_home_land_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_buying_a_garage_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_business_development_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_building_a_house_or_an_annex_mean,0.0,feature_importances_
prev_flag_last_appl_per_contract_y_mean,0.0,feature_importances_
prev_flag_last_appl_per_contract_n_mean,0.0,feature_importances_
prev_name_contract_type_xna_mean,0.0,feature_importances_
cc_cnt_drawings_other_current_mean,0.0,feature_importances_
cc_cnt_drawings_other_current_max,0.0,feature_importances_
cc_cnt_drawings_other_current_min,0.0,feature_importances_
prev_name_cash_loan_purpose_furniture_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_gasification_water_supply_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_buying_a_new_car_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_car_repairs_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_buying_a_used_car_mean,0.0,feature_importances_
closed_amt_credit_sum_overdue_mean,0.0,feature_importances_
emergencystate_mode_nan,0.0,feature_importances_
emergencystate_mode_yes,0.0,feature_importances_
cc_cnt_drawings_pos_current_max,0.0,feature_importances_
prev_name_cash_loan_purpose_education_mean,0.0,feature_importances_
prev_name_cash_loan_purpose_everyday_expenses_mean,0.0,feature_importances_
closed_credit_day_overdue_mean,0.0,feature_importances_
closed_credit_day_overdue_max,0.0,feature_importances_
cc_sk_dpd_def_mean,0.0,feature_importances_
closed_cnt_credit_prolong_sum,0.0,feature_importances_
cc_name_contract_status_active_min,0.0,feature_importances_
cc_name_contract_status_active_max,0.0,feature_importances_
cc_name_contract_status_approved_max,0.0,feature_importances_
cc_name_contract_status_approved_mean,0.0,feature_importances_
amt_req_credit_bureau_hour,0.0,feature_importances_
amt_req_credit_bureau_day,0.0,feature_importances_
