search_rank,learning_rate,num_leaves,min_child_samples,reg_lambda,training_time_ms,selected_threshold,valid_roc_auc,valid_pr_auc,valid_business_fbeta,valid_business_cost_per_obs,valid_recall,valid_precision
14,0.03,63,50,1.0,2036.3452999154106,0.5,0.7770401288089789,0.2608821240871289,0.5479914419565458,0.4980996321212984,0.6800100704934542,0.1863015588357015
13,0.03,63,50,0.0,2191.2284999853,0.48,0.7768838746237481,0.25945277669254885,0.5546218487394958,0.4998272392837544,0.7009063444108762,0.17965926690758904
15,0.03,63,100,0.0,1717.6287999609485,0.48,0.7766043248593479,0.260429507293113,0.5531082451818577,0.5014532224954777,0.6988922457200403,0.17923553719008264
16,0.03,63,100,1.0,1700.922700110823,0.49,0.7765773668236856,0.26052582222978893,0.5470313786478822,0.5031808296579338,0.6842900302114804,0.18198861734181454
9,0.03,31,50,0.0,1144.2554000532255,0.5,0.7760688713630671,0.2606574439324596,0.5500799244350796,0.5034247271396923,0.6931017119838873,0.1795590920949648
8,0.02,63,100,1.0,1565.2447000611573,0.51,0.774923168763404,0.2585523721327426,0.5425280567040756,0.5037295989918904,0.6727089627391742,0.18483674598782512
7,0.02,63,100,0.0,1462.6693999161944,0.49,0.7752322037053601,0.2589039025724251,0.5518388000361435,0.5040344708440886,0.6988922457200403,0.17777777777777778
12,0.03,31,100,1.0,1151.9371999893337,0.51,0.7758545541445939,0.2606025059066689,0.5450977515313795,0.5041360947948212,0.6802618328298087,0.18249358368229096
11,0.03,31,100,0.0,1200.8322000037879,0.5,0.7757081357737374,0.259582459040053,0.549400871459695,0.5044409666470193,0.6925981873111783,0.1791015625
5,0.02,63,50,0.0,1553.0878999270499,0.52,0.7750581927301721,0.25940354596058973,0.5368957217754725,0.5044816162273125,0.6586102719033232,0.1885133674425308
6,0.02,63,50,1.0,1524.3604000424966,0.49,0.7752738013515512,0.25917358818785396,0.5507950849295266,0.505253958252881,0.6976334340382678,0.17740076824583867
10,0.03,31,50,1.0,1177.435400080867,0.51,0.7757669614026613,0.2608578997730848,0.5433844458727389,0.5053759069937603,0.6772406847935549,0.1825585341024771
3,0.02,31,100,0.0,1218.3638999704272,0.51,0.773233395892898,0.2575499751466647,0.5450802499499007,0.5075303347492938,0.6847935548841894,0.17928943378814843
2,0.02,31,50,1.0,1198.999400017783,0.52,0.773422246868721,0.2577172474117929,0.5386712848667968,0.5089327452694051,0.6691842900302115,0.18258002472867152
4,0.02,31,100,1.0,1211.565800011158,0.52,0.7730332507080395,0.25761089809113547,0.5383000276268533,0.5095018393935082,0.668932527693857,0.18229845626072042
1,0.02,31,50,0.0,1058.284799917601,0.53,0.77342818620881,0.25762853572394734,0.532654887049877,0.5096237881343875,0.6540785498489426,0.18647717484926787
