feature_count,roc_auc,pr_auc,business_fbeta,business_cost_per_obs,recall,precision,single_row_latency_p95_ms,batch_latency_per_row_ms,training_time_ms
20,0.7737919615991389,0.26226253026011886,0.5587078300273837,0.5161945952977139,0.7359516616314199,0.16392265936925215,0.5466099712066352,0.000909785049179761,1798.8050000276417
30,0.7786947673636213,0.27133649017876565,0.5640156818818259,0.5062924782933889,0.7375629405840887,0.16821313734497015,0.5864199192728846,0.0010731244510144052,1435.5128000024706
50,0.7828129413811853,0.27489114030162676,0.5657931851517546,0.5005853468179896,0.7345417925478348,0.1715912298861391,0.5896700487937777,0.001121674092247666,1841.5562000591308
100,0.7865410135839356,0.2812795390326651,0.5696459210731556,0.49346362719911546,0.7355488418932528,0.17497963681663553,0.6782549200579523,0.0013169490417793807,3310.679299989715
